Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year, Total ,PerHundred,Gender_index,is_eu_avg
Total,Males,FIN,Finland,2019,338455,5521606,2721,49.28,0.8265,0
Total,Total,FIN,Finland,2019,338455,5521606,2945,53.34,0.8265,0
Total,Females,FIN,Finland,2017,338455,5508214,234,4.25,0.823,0
Total,Males,FIN,Finland,2017,338455,5508214,2848,51.7,0.823,0
Total,Total,FIN,Finland,2017,338455,5508214,3082,55.95,0.823,0
Total,Females,FIN,Finland,2018,338455,5515525,227,4.12,0.821,0
Total,Males,FIN,Finland,2018,338455,5515525,2729,49.48,0.821,0
Total,Total,FIN,Finland,2018,338455,5515525,2956,53.59,0.821,0
Total,Females,FRA,France,2022,643801,68184457,2286,3.35,0.791,0
Total,Males,FRA,France,2022,643801,68184457,69887,102.5,0.791,0
Total,Total,FRA,France,2022,643801,68184457,72173,105.85,0.791,0
Total,Females,FRA,France,2021,643801,67842811,2219,3.27,0.784,0
Total,Males,FRA,France,2021,643801,67842811,67229,99.1,0.784,0
Total,Total,FRA,France,2021,643801,67842811,69448,102.37,0.784,0
Total,Females,FRA,France,2020,643801,67601110,2055,3.04,0.781,0
Total,Males,FRA,France,2020,643801,67601110,60488,89.48,0.781,0
Total,Total,FRA,France,2020,643801,67601110,62543,92.52,0.781,0
Total,Females,FRA,France,2019,643801,67382061,2511,3.73,0.78,0
Total,Males,FRA,France,2019,643801,67382061,68228,101.26,0.78,0
Total,Total,FRA,France,2019,643801,67382061,70739,104.98,0.78,0
Total,Females,FRA,France,2018,643801,67158348,2534,3.77,0.779,0
Total,Males,FRA,France,2018,643801,67158348,67525,100.55,0.779,0
Total,Total,FRA,France,2018,643801,67158348,70059,104.32,0.779,0
Total,Females,FRA,France,2017,643801,66918020,2393,3.58,0.778,0
Total,Males,FRA,France,2017,643801,66918020,66581,99.5,0.778,0
Total,Total,FRA,France,2017,643801,66918020,68974,103.07,0.778,0
Total,Females,FRA,France,2015,643801,66548272,2147,3.23,0.761,0
Total,Males,FRA,France,2015,643801,66548272,64531,96.97,0.761,0
Total,Total,FRA,France,2015,643801,66548272,66678,100.19,0.761,0
Total,Females,FRA,France,2014,643801,66312067,2108,3.18,0.7588,0
Total,Males,FRA,France,2014,643801,66312067,64162,96.76,0.7588,0
Total,Total,FRA,France,2014,643801,66312067,66270,99.94,0.7588,0
Total,Females,FRA,France,2023,643801,68372286,2537,3.71,0.756,0
Total,Males,FRA,France,2023,643801,68372286,73376,107.32,0.756,0
Total,Total,FRA,France,2023,643801,68372286,75913,111.03,0.756,0
Total,Females,FRA,France,2016,643801,66724104,2265,3.39,0.755,0
Total,Males,FRA,France,2016,643801,66724104,66167,99.17,0.755,0
Total,Total,FRA,France,2016,643801,66724104,68432,102.56,0.755,0
Total,Females,DEU,Germany,2023,357596,83287273,3316,3.98,0.815,0
Total,Males,DEU,Germany,2023,357596,83287273,54782,65.77,0.815,0
Total,Total,DEU,Germany,2023,357596,83287273,58098,69.79,0.815,0
Total,Females,DEU,Germany,2022,357596,83177813,3164,3.80,0.801,0
Total,Males,DEU,Germany,2022,357596,83177813,53130,63.87,0.801,0
Total,Total,DEU,Germany,2022,357596,83177813,56294,67.67,0.801,0
Total,Females,DEU,Germany,2021,357596,83196078,3030,3.64,0.796,0
Total,Males,DEU,Germany,2021,357596,83196078,53486,64.28,0.796,0
Total,Total,DEU,Germany,2021,357596,83196078,56516,67.93,0.796,0
Total,Females,DEU,Germany,2020,357596,83160871,3221,3.87,0.787,0
Total,Males,DEU,Germany,2020,357596,83160871,55835,67.14,0.787,0
Total,Total,DEU,Germany,2020,357596,83160871,59056,71.01,0.787,0
Total,Females,DEU,Germany,2019,357596,83092962,3649,4.39,0.7815000000000001,0
Total,Males,DEU,Germany,2019,357596,83092962,59736,71.89,0.7815000000000001,0
Total,Total,DEU,Germany,2019,357596,83092962,63385,76.28,0.7815000000000001,0
Total,Females,DEU,Germany,2015,357596,81686611,3611,4.42,0.779,0
Total,Males,DEU,Germany,2015,357596,81686611,58261,71.32,0.779,0
Total,Total,DEU,Germany,2015,357596,81686611,61872,75.74,0.779,0
Total,Females,DEU,Germany,2014,357596,80982500,3639,4.49,0.778,0
Total,Males,DEU,Germany,2014,357596,80982500,59589,73.58,0.778,0
Total,Total,DEU,Germany,2014,357596,80982500,63228,78.07,0.778,0
Total,Females,DEU,Germany,2017,357596,82657002,3857,4.66,0.778,0
Total,Males,DEU,Germany,2017,357596,82657002,60336,72.99,0.778,0
Total,Total,DEU,Germany,2017,357596,82657002,64193,77.66,0.778,0
Total,Females,DEU,Germany,2018,357596,82905782,3778,4.55,0.776,0
Total,Males,DEU,Germany,2018,357596,82905782,60038,72.41,0.776,0
Total,Total,DEU,Germany,2018,357596,82905782,63816,76.97,0.776,0
Total,Females,DEU,Germany,2016,357596,82348669,3706,4.50,0.766,0
Total,Males,DEU,Germany,2016,357596,82348669,58825,71.43,0.766,0
Total,Total,DEU,Germany,2016,357596,82348669,62531,75.93,0.766,0
